"index"	"authorship"	"citation"	"title"	"year"	"journal"	"DOI"	"https"	"whether_included"	"criteria1"	"criteria2"	"criteria3"	"theme"	"subtheme"	"scenarios"	"model_type"	"model_name"	"time_horizon"	"database"	"preagg_region"	"postagg_region"	"included_regions"	"preagg_comm"	"postagg_comm"	"whether_coupled"	"coupled_model_type"	"coupled_model_name"	"coupled_sect"	"type_coupling"	"method_coupling"	"software"	"solver"	"whether_sensitivity"
44	"Acharya S."	"(Acharya 2010)"	"Import liberalisation and revenue replacement: Impacts in a small Asian developing economy"	2010	"European Journal of Development Research"	"10.1057/ejdr.2010.4"	"https://doi.org/10.1057/ejdr.2010.4"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"liberalization"	"SG"	"Nepal CGE"	"2006"	"2006 Nepal SAM"	NA	2	"Nepal,Rest of World"	NA	4	"No"	""	""	""	""	""	"unspecified"	""	"No"
45	"Bae J.H., Cho G.-L."	"(Bae and Cho, 2010)"	"A dynamic general equilibrium analysis on fostering a hydrogen economy in Korea"	2010	"Energy Economics"	"10.1016/j.eneco.2009.03.010"	"https://doi.org/10.1016/j.eneco.2009.03.010"	"Yes"	"Yes"	"Yes"	"Yes"	"energy"	"energy"	"subsidy related"	"IDG"	""	"2040"	"2000 Korea SAM"	NA	1	"South Korea"	NA	7	"No"	""	""	""	""	""	"GAMS-MPSGE"	""	"No"
46	"Bayramoglu Z., Orkan Ozer O., Gundogmus E., Fusun Tatlidil F."	"(Bayramoglu et al., 2010)"	"The impact of changes in Turkey's hazelnut policy on world markets"	2010	"African Journal of Agricultural Research"	""	"http://www.academicjournals.org/journal/AJAR/article-abstract/0537DE228520"	"Yes"	"Yes"	"Yes"	"Yes"	"AFOLU"	"agriculture"	"demand change"	"SP"	""	"2017"	"FAO"	NA	5	"Germany,Italy,Spain,Turkey,United States"	NA	1	"No"	""	""	""	""	""	"unspecified"	""	"No"
47	"Bouet A., Laborde D."	"(Bouet and Laborde, 2010)"	"Assessing the potential cost of a failed Doha Round"	2010	"World Trade Review"	"10.1017/S1474745609990267"	"https://doi.org/10.1017/S1474745609990267"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"liberalization"	"RDG"	"MIRAGE"	"2025"	"GTAP7, TRAINS"	113	28	"ANZ,Bangladesh,Brazil,Cambodia_Laos_Myanmar_Rest of East Asia_Rest of SEA_Vietnam,Canada,Central Africa,China,Europe,India,Indonesia,Japan,Malaysia_Philippines_Thailand,MENA,Mexico,Nigeria,Pakistan,Rest of Eastern Africa,Rest of ECOWAS,Rest of Latin America,Rest of OECD,Rest of South African Development Community,Rest of South Asia,Rest of World,Singapore_Taiwan,South Africa/SACU,South Korea,Turkey,United States"	57	27	"No"	""	""	""	""	""	"unspecified"	""	"No"
48	"Bouët A., Laborde D."	"(Bouët and Laborde, 2010)"	"Why is the doha development agenda failing? And what can be done? A computable general equilibrium-game theoretical approach"	2010	"World Economy"	"10.1111/j.1467-9701.2010.01302.x"	"https://doi.org/10.1111/j.1467-9701.2010.01302.x"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"liberalization"	"SG"	"MIRAGE"	"2001"	"GTAP6.1, MAcMap-HS6-v1, OECD"	92	25	"Argentina,Australia,Bangladesh,Brazil,Canada,Chile,China,CIS,EFTA,Europe,India,Indonesia,Japan,Mediterranean countries Countries,Mexico,New Zealand,Rest of Asia,Rest of LAM/LAC/SAM,Rest of LAM/LAC/SAM,Rest of World,South Africa/SACU,South Korea_Taiwan,sub-Saharan Africa,Thailand,United States"	57	23	"No"	""	""	""	""	""	"unspecified"	""	"No"
49	"Chang K., Hayakawa K."	"(Chang and Hayakawa, 2010)"	"Border barriers in agricultural trade and the impact of their elimination: Evidence from East Asia"	2010	"Developing Economies"	"10.1111/j.1746-1049.2010.00106.x"	"https://doi.org/10.1111/j.1746-1049.2010.00106.x"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"import related,non-tariff barrier"	"SG"	"GTAP"	"2001"	"GTAP6"	87	11	"China,Europe,Indonesia,Japan,Malaysia,Philippines,Rest of World,Singapore,South Korea,Thailand,United States"	57	3	"No"	""	""	""	""	""	"unspecified"	""	"No"
50	"Davies R., Thurlow J."	"(Davies and Thurlow, 2010)"	"Formal-informal economy linkages and unemployment in South Africa"	2010	"South African Journal of Economics"	"10.1111/j.1813-6982.2010.01250.x"	"https://doi.org/10.1111/j.1813-6982.2010.01250.x"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"liberalization"	"SG"	"SAFIM"	"2002"	"2002 South Africa SAM"	NA	2	"Rest of World,South Africa/SACU"	NA	26	"No"	""	""	""	""	""	"unspecified"	""	"No"
51	"Ghosh M., Rao S."	"(Ghosh and Rao, 2010)"	"Chinese accession to the WTO: Economic implications for China, other Asian and North American economies"	2010	"Journal of Policy Modeling"	"10.1016/j.jpolmod.2010.03.003"	"https://doi.org/10.1016/j.jpolmod.2010.03.003"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"import related"	"RDG"	""	NA	"GTAP6"	87	8	"Canada,China,Europe,India,LAM/LAC/SAM,Rest of Asia,Rest of World,United States"	57	12	"No"	""	""	""	""	""	"unspecified"	""	"No"
52	"Gomes Pereira M.W., Teixeira E.C., Raszap-Skorbiansky S."	"(Gomes Pereira et al., 2010)"	"Impacts of the Doha Round on Brazilian, Chinese and Indian agribusiness"	2010	"China Economic Review"	"10.1016/j.chieco.2009.07.002"	"https://doi.org/10.1016/j.chieco.2009.07.002"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"liberalization"	"SG"	"GTAP"	"2004"	"GTAP7"	113	8	"Brazil,China,Europe,India,Rest of developed,Rest of G-20,Rest of World,United States"	57	10	"No"	""	""	""	""	""	"unspecified"	""	"No"
53	"Hedal Kløverpris J., Baltzer K., Nielsen P.H."	"(Hedal Kløverpris et al., 2010)"	"Life cycle inventory modelling of land use induced by crop consumption: Part 2: Example of wheat consumption in Brazil, China, Denmark and the USA"	2010	"International Journal of Life Cycle Assessment"	"10.1007/s11367-009-0132-2"	"https://doi.org/10.1007/s11367-009-0132-2"	"Yes"	"Yes"	"Yes"	"Yes"	"AFOLU"	"agriculture"	"demand change"	"SG"	"GTAP-based"	"2001"	"GTAP6"	87	22	"Australia,Brazil,Canada,China,Denmark,Eastern Europe,Europe,India,Japan,MENA,Mexico,Peru,Rest of East Asia_SEA,Rest of Europe,Rest of Former Soviet Union,Rest of LAM/LAC/SAM,Rest of LAM/LAC/SAM,Rest of Oceania,Rest of South Asia,Rest of sub-Saharan Africa,South Africa/SACU,United States"	57	15	"No"	""	""	""	""	""	"unspecified"	""	"Yes"
54	"Johnecheck W.A., Wilde P.E., Caswell J.A."	"(Johnecheck et al., 2010)"	"Market and welfare impacts of COOL on the U.S.-Mexican tomato trade"	2010	"Journal of Agricultural and Resource Economics"	""	"https://www.jstor.org/stable/pdf/23243069.pdf"	"Yes"	"Yes"	"Yes"	"Yes"	"AFOLU"	"agriculture"	"country of origin labelling"	"SP"	""	"2006"	"USDA"	NA	2	"Mexico,United States"	NA	1	"No"	""	""	""	""	""	"unspecified"	""	"No"
55	"Kallio A.M.I."	"(Kallio 2010)"	"Accounting for uncertainty in a forest sector model using Monte Carlo simulation"	2010	"Forest Policy and Economics"	"10.1016/j.forpol.2009.09.014"	"https://doi.org/10.1016/j.forpol.2009.09.014"	"Yes"	"Yes"	"Yes"	"Yes"	"AFOLU"	"forestry"	"biodiversity related,other energy related,other energy related"	"SP"	"SF-GTM"	"2015"	"Finish forestry statistical sources"	NA	15	"Etela-Pohjanmaa,Etela-Savo,Etelarannikko,Hame-Uusimaa,Kaakkois-Suomi,Kainuu,Keski-Suomi,Lappi,Lounais-Suomi,Pirkanmaa,Pohjanmaa,Pohjois-Karjala,Pohjois-Pohjanmaa,Pohjois-Savo,Rest of World"	NA	1	"No"	""	""	""	""	""	"GAMS"	""	"Yes"
56	"Karplus V.J., Paltsev S., Reilly J.M."	"(Karplus et al., 2010)"	"Prospects for plug-in hybrid electric vehicles in the United States and Japan: A general equilibrium analysis"	2010	"Transportation Research Part A: Policy and Practice"	"10.1016/j.tra.2010.04.004"	"https://doi.org/10.1016/j.tra.2010.04.004"	"Yes"	"Yes"	"Yes"	"Yes"	"energy"	"energy"	"emissions/CO2 related,plug-in electric vehicle introduction"	"RDG"	"EPPA"	"2100"	"GTAP5"	66	16	"Africa,ANZ,Canada,China,East Asia,Eastern Europe,Europe,India,Indonesia,Japan,LAM/LAC/SAM,Mexico,Middle East,Rest of World,Russia/FSU,United States"	57	24	"No"	""	""	""	""	""	"GAMS-MPSGE"	""	"ambiguous"
57	"Kitwiwattanachai A., Nelson D., Reed G."	"(Kitwiwattanachai et al., 2010)"	"Quantitative impacts of alternative East Asia Free Trade Areas: A Computable General Equilibrium (CGE) assessment"	2010	"Journal of Policy Modeling"	"10.1016/j.jpolmod.2009.07.002"	"https://doi.org/10.1016/j.jpolmod.2009.07.002"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"FTA related"	"SG"	""	"2001"	"GTAP6"	87	14	"ANZ,China,Europe,Indonesia,Japan,Malaysia,North America,Philippines,Rest of SEA,Rest of World,Singapore,South Korea,Thailand,Vietnam"	57	14	"No"	""	""	""	""	""	"unspecified"	""	"Yes"
58	"Lennox J.A., van Nieuwkoop R."	"(Lennox and van Nieuwkoop, 2010)"	"Output-based allocations and revenue recycling: Implications for the New Zealand Emissions Trading Scheme"	2010	"Energy Policy"	"10.1016/j.enpol.2010.09.002"	"https://doi.org/10.1016/j.enpol.2010.09.002"	"Yes"	"Yes"	"Yes"	"Yes"	"energy"	"energy"	"emissions/CO2 related"	"SG"	"NZCEM"	"2020"	"New Zealand 2006 SAM"	NA	1	"New Zealand"	NA	54	"No"	""	""	""	""	""	"unspecified"	""	"ambiguous"
59	"Mai Y., Adams P., Dixon P., Menon J."	"(Mai et al., 2010)"	"The growth locomotive of the People's Republic of China: Macro and terms-of-trade impacts on neighboring countries"	2010	"Asian Development Review"	""	"http://vuir.vu.edu.au/24674/"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"technological change"	"RDG"	"MMC"	"2010"	"GTAP5, UNSTATS, World Bank"	66	12	"Australia,China,India,Indonesia,Japan,Malaysia,Philippines,Rest of World,Singapore,South Korea,Thailand,United States"	57	8	"No"	""	""	""	""	""	"unspecified"	""	"ambiguous"
60	"Moiseyev A., Solberg B., Michie B., Kallio A.M.I."	"(Moiseyev et al., 2010)"	"Modeling the impacts of policy measures to prevent import of illegal wood and wood products"	2010	"Forest Policy and Economics"	"10.1016/j.forpol.2009.09.015"	"https://doi.org/10.1016/j.forpol.2009.09.015"	"Yes"	"Yes"	"Yes"	"Yes"	"AFOLU"	"forestry"	"regulations"	"SP"	"EFI-GTM"	"2007"	"FAOSTAT, Jaakko Pöyry Consulting (JPC)"	60	24	"Africa,Belarus,Brazil,Cameroon,Central and Western EU,China,China,Congo - Brazzaville,Europe,Gabon,Ghana,high and moderate risk illegal logging countries,Indonesia,Japan,Malaysia,Nordic EU,other Asia,other EU,other Latin America,other low risk illegal logging countries,Russia/FSU,Ukraine,United States,Vietnam"	NA	4	"No"	""	""	""	""	""	"unspecified"	""	"No"
61	"Narayanan B.G., Hertel T.W., Horridge J.M."	"(Narayanan et al., 2010)"	"Disaggregated data and trade policy analysis: The value of linking partial and general equilibrium models"	2010	"Economic Modelling"	"10.1016/j.econmod.2010.01.018"	"https://doi.org/10.1016/j.econmod.2010.01.018"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"liberalization"	"SPG"	"GTAP-PE extension"	"2001"	"GTAP6.2, MAcMap, TASTE"	96	3	"India,Rest of World,SEA"	57	10	"No"	""	""	""	""	""	"unspecified"	""	"Yes"
62	"Nolte S., Grethe H., Buysse J., Van Der Straeten B., Claeys D., Lauwers L., Van Huylenbroeck G."	"(Nolte et al., 2010)"	"Modelling preferential sugar imports of the EU: A spatial price equilibrium analysis"	2010	"European Review of Agricultural Economics"	"10.1093/erae/jbq011"	"https://doi.org/10.1093/erae/jbq011"	"Yes"	"Yes"	"Yes"	"Yes"	"AFOLU"	"agriculture"	"liberalization,supply change"	"SP"	""	"2005"	"ISO, USDA, European Commission"	NA	54	"Albania,Austria,Balkans,Bangladesh,Belgium_Luxembourg,Belize,Benin,Brazil,Congo - Brazzaville,Congo - Kinshasa,Cote d'Ivoire,Croatia,Cuba,Czech Republic,Denmark,Dominican Republic,Ethiopia,Fiji,Finland,France,Gabon,Germany,Greece,Guinea,Guyana,Hungary,Italy,Jamaica,Lithuania,Madagascar,Malawi,Mali,Mauritius,Mozambique,Netherlands,Nevis_Saint Kitts,Other countries,Othercountries,Papua New Guinea,Poland,Portugal,Romania,Senegal,Sierra Leone,Slovakia,Spain,Sudan,Suriname,Swaziland,Sweden,Trinidad and Tobago,United Kingdom,Zambia,Zimbabwe"	NA	1	"No"	""	""	""	""	""	"GAMS"	"PATH"	"No"
63	"Rausch S., Metcalf G.E., Reilly J.M., Paltsev S."	"(Rausch et al., 2010)"	"Distributional implications of alternative U.S. greenhouse gas control measures"	2010	"B.E. Journal of Economic Analysis and Policy"	""	"https://www.degruyter.com/view/j/bejeap.2010.10.issue-2/bejeap.2010.10.2.2537/bejeap.2010.10.2.2537.xml"	"Yes"	"Yes"	"Yes"	"Yes"	"energy"	"energy"	"emissions/CO2 related"	"RDG"	"USREP"	"2050"	"IMPLAN dataset"	NA	13	"Alabama_Kentucky_Mississippi_North Carolina_South Carolina_Tennessee_Virginia,Alaska,Arizona_Colorado_Idaho_Montana_Nevada_New Mexico_Utah_Wyoming,Arkansas_Louisiana_Oklahoma,California,Connecticut_Maine_Massachusetts_New Hampshire_Rhode Island_Vermont,Delaware_District of Columbia_Georgia_Illinois_Indiana_Maryland_Michigan_New Jersey_Ohio_Pennsylvania_West Virginia_Wisconsin,Florida,Iowa_Kansas_Minnesota_Missouri_Nebraska_North Dakota_South Dakota,New York,Oregon_Washington,Rest of World,Texas"	NA	13	"No"	""	""	""	""	""	"unspecified"	""	"No"
64	"Rivers N."	"(Rivers 2010)"	"Impacts of climate policy on the competitiveness of Canadian industry: How big and how to mitigate?"	2010	"Energy Economics"	"10.1016/j.eneco.2010.01.003"	"https://doi.org/10.1016/j.eneco.2010.01.003"	"Yes"	"Yes"	"Yes"	"Yes"	"energy"	"energy"	"emissions/CO2 related"	"IDG"	""	"2020"	"Statistics Canada 2005"	NA	1	"Canada"	NA	21	"No"	""	""	""	""	""	"unspecified"	""	"No"
65	"Seymore R., Adams P.D., Mabugu M., Van Heerden J.H., Blignaut J."	"(Seymore et al., 2010)"	"The impact of an environmental tax on electricity generation in South Africa"	2010	"Journal for Studies in Economics and Econometrics"	""	"https://www.ingentaconnect.com/content/sabinet/bersee/2010/00000034/00000002/art00001"	"Yes"	"Yes"	"Yes"	"Yes"	"energy"	"energy"	"tax related"	"SG"	"GTAP"	"2005"	"GTAP7"	113	4	"Rest of World,South Africa/SACU,South African Customs Union excluding South Africa,South African Development Community excluding South African Customs Union"	57	11	"No"	""	""	""	""	""	"unspecified"	""	"Yes"
66	"Solberg B., Moiseyev A., Kallio A.M.I., Toppinen A."	"(Solberg et al., 2010)"	"Forest sector market impacts of changed roundwood export tariffs and investment climate in Russia"	2010	"Forest Policy and Economics"	"10.1016/j.forpol.2009.09.016"	"https://doi.org/10.1016/j.forpol.2009.09.016"	"Yes"	"Yes"	"Yes"	"Yes"	"AFOLU"	"forestry"	"import related,industry investment"	"RDP"	"EFI-GTM"	"2020"	"see previous entry (Kallio et al. 2004)"	61	5	"Asia,Europe,LAM/LAC/SAM,Rest of World,Russia/FSU"	26	3	"No"	""	""	""	""	""	"unspecified"	""	"No"
67	"Takeda S."	"(Takeda 2010)"	"A computable general equilibrium analysis of the welfare effects of trade liberalization under different market structures"	2010	"International Review of Applied Economics"	"10.1080/02692170903424307"	"https://doi.org/10.1080/02692170903424307"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"liberalization"	"SG"	"GTAP"	"2001"	"GTAP6"	87	14	"Canada,China,Europe,Former Soviet Union_Rest of Europe,Japan,Mercosur,Mexico,Oceania,Rest of Asia,Rest of LAM/LAC/SAM_Rest of Southern America,Rest of World,SEA,South Korea,United States"	57	16	"No"	""	""	""	""	""	"GAMS"	""	"Yes"
68	"Tian H., Whalley J."	"(Tian and Whalley, 2010)"	"Trade sanctions, financial transfers and BRIC participation in global climate change negotiations"	2010	"Journal of Policy Modeling"	"10.1016/j.jpolmod.2009.09.004"	"https://doi.org/10.1016/j.jpolmod.2009.09.004"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"biodiversity related,protectionism"	"SG"	""	"2056"	"World Bank"	NA	8	"Brazil,China,Europe,India,Japan,Rest of World,Russia/FSU,United States"	NA	1	"No"	""	""	""	""	""	"unspecified"	""	"Yes"
69	"Trink T., Schmid C., Schinko T., Steininger K.W., Loibnegger T., Kettner C., Pack A., Töglhofer C."	"(Trink et al., 2010)"	"Regional economic impacts of biomass based energy service use: A comparison across crops and technologies for East Styria, Austria"	2010	"Energy Policy"	"10.1016/j.enpol.2010.05.045"	"https://doi.org/10.1016/j.enpol.2010.05.045"	"Yes"	"Yes"	"Yes"	"Yes"	"AFOLU"	"agriculture"	"biofuel related"	"SG"	""	"2004"	"GTAP7, 2004 Austria SAM"	113	12	"Austria,East Styria,Europe,Rest of Styria,Rest of World,unkown(7)"	57	15	"No"	""	""	""	""	""	"unspecified"	""	"Yes"
70	"Tsakiridou E., Somwaru A., Mattas K."	"(Tsakiridou et al., 2010)"	"Middle east and north Africa countries' agricultural export potentials under trade reforms"	2010	"Applied Economics"	"10.1080/00036840701721497"	"https://doi.org/10.1080/00036840701721497"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"liberalization,other trade related"	"SG"	""	"1997"	"GTAP5"	66	7	"ANZ,Europe,Japan,MENA,Rest of Americas,Rest of World,United States"	57	14	"No"	""	""	""	""	""	"unspecified"	""	"No"
71	"Vásquez Cordano A.L., Balistreri E.J."	"(Vásquez Cordano and Balistreri, 2010)"	"The marginal cost of public funds of mineral and energy taxes in Peru"	2010	"Resources Policy"	"10.1016/j.resourpol.2010.08.002"	"https://doi.org/10.1016/j.resourpol.2010.08.002"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"tax related"	"SG"	"GTAP6inGAMS"	"2001"	"GTAP6"	89	4	"Europe,Peru,Rest of World,United States"	57	10	"No"	""	""	""	""	""	"GAMS"	"PATH"	"No"
72	"Webster M., Paltsev S., Reilly J."	"(Webster et al., 2010)"	"The hedge value of international emissions trading under uncertainty"	2010	"Energy Policy"	"10.1016/j.enpol.2009.11.054"	"https://doi.org/10.1016/j.enpol.2009.11.054"	"Yes"	"Yes"	"Yes"	"Yes"	"energy"	"energy"	"emissions/CO2 related,emissions/CO2 related"	"RDG"	"EPPA"	"2095"	"GTAP5-E"	66	16	"Africa,ANZ,Canada,China,Eastern Europe,Europe,Higher Income East Asia,India,Indonesia,Japan,LAM/LAC/SAM,Mexico,Middle East,Rest of World,Russia/FSU,United States"	57	19	"No"	""	""	""	""	""	"GAMS-MPSGE"	""	"No"
73	"Yu W., Jensen H.G."	"(Yu and Jensen, 2010)"	"China's agricultural policy transition: Impacts of recent reforms and future scenarios"	2010	"Journal of Agricultural Economics"	"10.1111/j.1477-9552.2010.00242.x"	"https://doi.org/10.1111/j.1477-9552.2010.00242.x"	"Yes"	"Yes"	"Yes"	"Yes"	"AFOLU"	"agriculture"	"agriculture related,agriculture related"	"SG"	"GTAP-based"	"2005"	"GTAP7-pre"	101	12	NA	57	43	"No"	""	""	""	""	""	"unspecified"	""	"No"
74	"Acharya S."	"(Acharya 2011)"	"Making unilateral trade liberalisation beneficial to the poor"	2011	"Socio-Economic Planning Sciences"	"10.1016/j.seps.2010.12.002"	"https://doi.org/10.1016/j.seps.2010.12.002"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"liberalization"	"SG"	"Nepal CGE"	"2006"	"Nepal SAM 1996, SAM 2006"	NA	2	"Nepal,Rest of World"	NA	4	"No"	""	""	""	""	""	"unspecified"	""	"No"
75	"Agarwal M., Ghosh M."	"(Agarwal and Ghosh, 2011)"	"An india-china fta: Potential economic implications for the asian and the north american economies"	2011	"South Asia Economic Journal"	"10.1177/139156141101200201"	"https://doi.org/10.1177/139156141101200201"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"liberalization"	"IDG"	"Arrow Debreu"	"2011"	"GTAP6"	87	8	"Austria_Belgium_Denmark_Finland_France_Germany_Greece_Ireland_Italy_Luxembourg_Netherlands_Portugal_Rest of EFTA_Rest of Europe_Spain_Sweden_Switzerland_United Kingdom,Canada,China,India,LAM/LAC/SAM,Rest of Asia,Rest of World,United States"	57	12	"No"	""	""	""	""	""	"unspecified"	""	"No"
76	"Aydin L., Acar M."	"(Aydin and Acar, 2011)"	"Economic impact of oil price shocks on the Turkish economy in the coming decades: A dynamic CGE analysis"	2011	"Energy Policy"	"10.1016/j.enpol.2010.12.051"	"https://doi.org/10.1016/j.enpol.2010.12.051"	"Yes"	"Yes"	"Yes"	"Yes"	"energy"	"energy"	"other energy related,other energy related"	"IDG"	"TurGEM-D"	"2020"	"GTAP7"	113	2	"Rest of World,Turkey"	57	8	"No"	""	""	""	""	""	"GEMPack"	""	"No"
77	"Balistreri E.J., Hillberry R.H., Rutherford T.F."	"(Balistreri et al., 2011)"	"Structural estimation and solution of international trade models with heterogeneous firms"	2011	"Journal of International Economics"	"10.1016/j.jinteco.2011.01.001"	"https://doi.org/10.1016/j.jinteco.2011.01.001"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"heterogenous firms,import related"	"SPG"	"Melitz"	"2001"	"GTAP6"	87	12	"ANZ,Canada,China,Eastern Europe_Former Soviet Union,Europe,Japan,LAM/LAC/SAM,Mexico,Rest of Asia,Rest of World,South Korea_Taiwan,United States"	57	7	"No"	""	""	""	""	""	"unspecified"	""	"ambiguous"
78	"Braymen C.B."	"(Braymen 2011)"	"Sectoral structure, heterogeneous plants, and international trade"	2011	"Economic Modelling"	"10.1016/j.econmod.2011.03.025"	"https://doi.org/10.1016/j.econmod.2011.03.025"	"Yes"	"Yes"	"Yes"	"Yes"	"economic"	"economic"	"export related,import related"	"SG"	"GTAPinGAMS"	"1995"	"GTAP4"	45	44	"Argentina,Australia,Brazil,Canada,Central European Associates,Chile,China,Colombia,Denmark,EFTA,Finland,Germany,India,Indonesia,Japan,LAM/LAC/SAM,Malaysia,Mexico,Morocco,New Zealand,Philippines,Rest of EU,Rest of LAM/LAC/SAM,Rest of Middle East,Rest of North Africa,Rest of South Asia,Rest of Southern Africa,Rest of sub-Saharan Africa,Rest of the Andean Pact,Rest of World,Russia/FSU,Singapore,South Africa/SACU,South Korea,Sri Lanka,Sweden,Taiwan,Thailand,Turkey,United Kingdom,United States,Uruguay,Venezuela,Vietnam"	50	9	"Yes"	"microsimulation"	"BEJK model"	"economic"	"loose"	"Coupled model uses CGE/PE output"	"GAMS-MPSGE"	""	"Yes"
79	"Calzadilla A., Rehdanz K., Tol R.S."	"(Calzadilla et al., 2011)"	"Water scarcity and the impact of improved irrigation management: A computable general equilibrium analysis"	2011	"Agricultural Economics"	"10.1111/j.1574-0862.2010.00516.x"	"https://doi.org/10.1111/j.1574-0862.2010.00516.x"	"Yes"	"Yes"	"Yes"	"Yes"	"AFOLU"	"water"	"hydrological"	"SPG"	"GTAP-W"	"2001"	"GTAP6"	87	16	"ANZ,Canada,China,Eastern Europe,Japan_South Korea,LAM/LAC/SAM,LAM/LAC/SAM,Middle East,North Africa,Rest of World,Russia/FSU,SEA,South Asia,sub-Saharan Africa,United States,Western Europe"	57	22	"Yes"	"partial equilibrium"	"IMPACT"	"agriculture"	"loose"	"Coupled model output used in CGE/PE input"	"unspecified"	""	"Yes"
